name,BCELoss,IsotonicBCE
AF-Q07343-F1-model_v4_0,0.8351695,0.31578952
AF-P0C879-F1-model_v4_0,0.00080154155,0.027272727
AF-Q96DN5-F1-model_v4_0,0.8791494,0.40298507
AF-P0DM35-F1-model_v4_0,0.001010193,0.027272727
AF-Q86W34-F1-model_v4_0,0.0010341642,0.027272727
AF-P03886-F1-model_v4_0,0.8914427,0.77319586
AF-P20396-F1-model_v4_0,0.8959949,0.91818184
AF-P27544-F1-model_v4_0,0.889766,0.77319586
AF-Q16829-F1-model_v4_0,0.859441,0.31578952
AF-Q9NP66-F1-model_v4_0,0.89850414,0.9611651
AF-Q969H8-F1-model_v4_0,0.903062,0.9611651
AF-Q96CK0-F1-model_v4_0,0.8435099,0.31578952
AF-A6NHY2-F1-model_v4_0,0.6754705,0.075630255
AF-Q9NRC6-F5-model_v4_0,0.89470077,0.88372093
AF-A6NEW6-F1-model_v4_0,0.85483843,0.31578952
AF-Q8TDJ6-F5-model_v4_0,0.084595755,0.075630255
AF-Q9NWM8-F1-model_v4_0,0.89717495,0.9611651
AF-P0CB33-F1-model_v4_0,0.8964719,0.91818184
AF-Q702N8-F1-model_v4_0,0.89267796,0.86538464
AF-Q9HCH0-F1-model_v4_0,0.9022402,0.9611651
AF-Q32P51-F1-model_v4_0,0.009456296,0.035714287
AF-Q9UPN3-F31-model_v4_0,0.89400035,0.88372093
AF-P16070-F1-model_v4_0,0.89438605,0.88372093
AF-Q9BXA7-F1-model_v4_0,0.0004333247,0.0
AF-Q9BX63-F1-model_v4_0,0.86907905,0.40298507
AF-Q8NEG2-F1-model_v4_0,0.89774936,0.9611651
AF-Q6VVX0-F1-model_v4_0,0.89519155,0.88372093
AF-Q12955-F15-model_v4_0,0.89838934,0.9611651
AF-P51786-F1-model_v4_0,0.8985707,0.9611651
AF-P01619-F1-model_v4_0,0.88510656,0.5
AF-O60235-F1-model_v4_0,0.8895042,0.77319586
AF-Q9H4P4-F1-model_v4_0,0.7811147,0.31578952
AF-Q00994-F1-model_v4_0,0.898294,0.9611651
AF-Q99848-F1-model_v4_0,0.8987289,0.9611651
AF-Q9NZR4-F1-model_v4_0,0.00043718852,0.0
AF-A6NLU5-F1-model_v4_0,0.8391047,0.31578952
AF-Q8TDX9-F8-model_v4_0,0.89857066,0.9611651
AF-Q9H3V2-F1-model_v4_0,0.89623165,0.91818184
AF-Q6ZMZ3-F1-model_v4_0,0.89485294,0.88372093
AF-Q16563-F1-model_v4_0,0.898507,0.9611651
AF-P0CV98-F1-model_v4_0,0.0038444938,0.027272727
AF-Q9UJ55-F1-model_v4_0,0.00044974653,0.0
AF-Q8IVF2-F15-model_v4_0,0.89912075,0.9611651
AF-Q6ZTR5-F4-model_v4_0,0.8951705,0.88372093
AF-Q9H7R0-F1-model_v4_0,0.89796495,0.9611651
AF-Q9NTI7-F1-model_v4_0,0.899147,0.9611651
AF-P48553-F1-model_v4_0,0.8889274,0.62068963
AF-Q14210-F1-model_v4_0,0.8893028,0.77319586
AF-Q9P209-F1-model_v4_0,0.89857835,0.9611651
AF-Q9UHC9-F1-model_v4_0,0.8959998,0.91818184
AF-Q6P1R4-F1-model_v4_0,0.8488002,0.31578952
AF-Q9BXE9-F1-model_v4_0,0.8821711,0.40298507
AF-A0A0B4J1V0-F1-model_v4_0,0.56130713,0.075630255
AF-Q6V1P9-F4-model_v4_0,0.8973128,0.9611651
AF-O00590-F1-model_v4_0,0.0049690166,0.03540042
AF-Q96ES7-F1-model_v4_0,0.0025105414,0.027272727
AF-Q5RL73-F1-model_v4_0,0.8988799,0.9611651
AF-Q9Y5J6-F1-model_v4_0,0.0021124643,0.027272727
AF-Q9BV94-F1-model_v4_0,0.89550096,0.88372093
AF-Q15940-F1-model_v4_0,0.89803207,0.9611651
AF-Q8NGH6-F1-model_v4_0,0.12940988,0.075630255
AF-P11586-F1-model_v4_0,0.8754275,0.40298507
AF-Q8NH85-F1-model_v4_0,0.7951962,0.31578952
AF-Q9BQD3-F1-model_v4_0,0.90316147,0.9611651
AF-Q9Y4D7-F1-model_v4_0,0.89854246,0.9611651
AF-A2CJ06-F1-model_v4_0,0.2331666,0.075630255
AF-P48735-F1-model_v4_0,0.8835598,0.5
AF-Q9Y4D1-F1-model_v4_0,0.88428855,0.5
AF-Q2KHR3-F1-model_v4_0,0.4066715,0.075630255
AF-P17028-F1-model_v4_0,0.89697546,0.9611651
AF-Q9ULZ3-F1-model_v4_0,0.0005176106,0.0
AF-P23759-F1-model_v4_0,0.8584258,0.31578952
AF-Q96N28-F1-model_v4_0,0.0005872141,0.0
AF-O75900-F1-model_v4_0,0.88899493,0.62068963
AF-Q8TAV3-F1-model_v4_0,0.8904616,0.77319586
AF-P0DPB6-F1-model_v4_0,0.36703065,0.075630255
AF-P0DPH7-F1-model_v4_0,0.00075749896,0.027272727
AF-O14558-F1-model_v4_0,0.0016153083,0.027272727
AF-Q96PQ7-F1-model_v4_0,0.004171508,0.027272727
AF-Q13557-F1-model_v4_0,0.039312776,0.05882353
AF-A0A1B0GWK0-F1-model_v4_0,0.0026666792,0.027272727
AF-Q6RFH5-F1-model_v4_0,0.8764289,0.40298507
AF-P55197-F1-model_v4_0,0.001468282,0.027272727
AF-O96013-F1-model_v4_0,0.0007150859,0.027272727
AF-Q96BM1-F1-model_v4_0,0.77715397,0.31578952
AF-Q6ZUJ4-F1-model_v4_0,0.8989669,0.9611651
AF-A8MZG2-F1-model_v4_0,0.00044672712,0.0
AF-Q4QY38-F1-model_v4_0,0.89343387,0.86538464
AF-Q9UI26-F1-model_v4_0,0.88638914,0.5
AF-P25054-F2-model_v4_0,0.00063987897,0.0
AF-Q6UUV9-F1-model_v4_0,0.8925405,0.86538464
AF-Q8NH16-F1-model_v4_0,0.8714441,0.40298507
AF-O00481-F1-model_v4_0,0.89547914,0.88372093
AF-Q8N3J2-F1-model_v4_0,0.8015179,0.31578952
AF-Q14679-F1-model_v4_0,0.23334612,0.075630255
AF-Q69YH5-F1-model_v4_0,0.89670527,0.91818184
AF-P61163-F1-model_v4_0,0.8979214,0.9611651
AF-Q9HB21-F1-model_v4_0,0.0046268627,0.03061786
AF-Q24JQ0-F1-model_v4_0,0.89255303,0.86538464
AF-Q9H3R1-F1-model_v4_0,0.89659774,0.91818184
AF-P23396-F1-model_v4_0,0.89641047,0.91818184
AF-A5YKK6-F1-model_v4_0,0.8878598,0.62068963
AF-Q8TCD6-F1-model_v4_0,0.7111978,0.075630255
AF-Q8N184-F1-model_v4_0,0.8968636,0.9611651
AF-P78385-F1-model_v4_0,0.8964385,0.91818184
AF-P0CF75-F1-model_v4_0,0.89459985,0.88372093
AF-Q9UI15-F1-model_v4_0,0.89396,0.88372093
AF-P00740-F1-model_v4_0,0.89119744,0.77319586
AF-Q8N7Z5-F1-model_v4_0,0.8960017,0.91818184
AF-Q9Y5F7-F1-model_v4_0,0.8973953,0.9611651
AF-Q8NH41-F1-model_v4_0,0.8808753,0.40298507
AF-Q86VF2-F1-model_v4_0,0.89535743,0.88372093
AF-Q8N114-F1-model_v4_0,0.8707959,0.40298507
AF-Q01668-F1-model_v4_0,0.89749277,0.9611651
AF-O75844-F1-model_v4_0,0.8489124,0.31578952
AF-A6NNL0-F1-model_v4_0,0.89792293,0.9611651
AF-Q8TDX9-F9-model_v4_0,0.89665794,0.91818184
AF-P51160-F1-model_v4_0,0.0014589826,0.027272727
AF-P00568-F1-model_v4_0,0.0152668115,0.035714287
AF-Q14155-F1-model_v4_0,0.87952965,0.40298507
AF-Q71RC2-F1-model_v4_0,0.8878602,0.62068963
AF-Q9BT04-F1-model_v4_0,0.8658514,0.40298507
AF-P81408-F1-model_v4_0,0.42394388,0.075630255
AF-Q8N883-F1-model_v4_0,0.89794254,0.9611651
AF-Q8NEV8-F1-model_v4_0,0.8984224,0.9611651
AF-Q6ZR52-F1-model_v4_0,0.89680827,0.91818184
AF-O43670-F1-model_v4_0,0.00093022303,0.027272727
AF-P0CG00-F1-model_v4_0,0.8988595,0.9611651
AF-P63010-F1-model_v4_0,0.89180297,0.77319586
AF-Q9GZT8-F1-model_v4_0,0.86563295,0.40298507
AF-Q7Z403-F1-model_v4_0,0.8976556,0.9611651
AF-Q6ZNC8-F1-model_v4_0,0.8046688,0.31578952
AF-P39210-F1-model_v4_0,0.8913379,0.77319586
AF-Q5VZ46-F1-model_v4_0,0.896212,0.91818184
AF-Q9HB89-F1-model_v4_0,0.030238463,0.05882353
AF-O95858-F1-model_v4_0,0.89385927,0.88372093
AF-Q9H089-F1-model_v4_0,0.82991767,0.31578952
AF-Q96KV6-F1-model_v4_0,0.894195,0.88372093
AF-Q70CQ2-F8-model_v4_0,0.4588071,0.075630255
AF-Q6ZTK2-F1-model_v4_0,0.89979374,0.9611651
AF-Q96S59-F1-model_v4_0,0.902057,0.9611651
AF-Q9UK73-F1-model_v4_0,0.5494748,0.075630255
AF-P46977-F1-model_v4_0,0.89678675,0.91818184
AF-Q8NCN5-F1-model_v4_0,0.8913139,0.77319586
AF-Q8WW35-F1-model_v4_0,0.8467706,0.31578952
AF-Q8IVN3-F1-model_v4_0,0.8962546,0.91818184
AF-Q9BRT2-F1-model_v4_0,0.8957437,0.88372093
AF-Q14643-F8-model_v4_0,0.8985002,0.9611651
AF-Q6NUK4-F1-model_v4_0,0.8851232,0.5
AF-P98164-F4-model_v4_0,0.8973092,0.9611651
AF-P21817-F9-model_v4_0,0.895299,0.88372093
AF-P58335-F1-model_v4_0,0.8959415,0.91818184
AF-Q96B23-F1-model_v4_0,0.0010736418,0.027272727
AF-O60427-F1-model_v4_0,0.89386135,0.88372093
AF-P51504-F1-model_v4_0,0.8960639,0.91818184
AF-Q9H777-F1-model_v4_0,0.538594,0.075630255
AF-A0A0J9YXM7-F1-model_v4_0,0.84506536,0.31578952
AF-Q13219-F1-model_v4_0,0.89732397,0.9611651
AF-Q14746-F1-model_v4_0,0.821693,0.31578952
AF-Q7RTT4-F1-model_v4_0,0.8973424,0.9611651
AF-P08519-F13-model_v4_0,0.89895916,0.9611651
AF-Q6ZXV5-F1-model_v4_0,0.89183265,0.77319586
AF-Q9UGJ1-F1-model_v4_0,0.18254992,0.075630255
AF-A2RU67-F1-model_v4_0,0.8972129,0.9611651
AF-O00548-F1-model_v4_0,0.89833575,0.9611651
AF-P78527-F2-model_v4_0,0.6791341,0.075630255
AF-A8MYV0-F1-model_v4_0,0.8851993,0.5
AF-Q969S6-F1-model_v4_0,0.8921238,0.77319586
AF-Q5JTZ9-F1-model_v4_0,0.8549744,0.31578952
AF-Q5CZC0-F3-model_v4_0,0.89923424,0.9611651
AF-Q7Z449-F1-model_v4_0,0.8922711,0.80310476
AF-Q99527-F1-model_v4_0,0.0023460176,0.027272727
AF-Q9P2D1-F6-model_v4_0,0.8879768,0.62068963
AF-Q9BTE0-F1-model_v4_0,0.86329126,0.33333334
AF-Q8NBZ7-F1-model_v4_0,0.89477724,0.88372093
AF-Q6PF15-F1-model_v4_0,0.8443575,0.31578952
AF-P06731-F1-model_v4_0,0.8973007,0.9611651
AF-P49792-F3-model_v4_0,0.8963682,0.91818184
AF-O15374-F1-model_v4_0,0.89080894,0.77319586
AF-Q5T9A4-F1-model_v4_0,0.36511114,0.075630255
AF-O43760-F1-model_v4_0,0.8975443,0.9611651
AF-O75190-F1-model_v4_0,0.89305454,0.86538464
AF-Q6ZSR6-F1-model_v4_0,0.00047963456,0.0
AF-Q9HCE6-F1-model_v4_0,0.7142315,0.075630255
AF-Q9H606-F1-model_v4_0,0.83747494,0.31578952
AF-Q07837-F1-model_v4_0,0.8984249,0.9611651
AF-Q3SYB3-F1-model_v4_0,0.010903525,0.035714287
AF-Q92622-F1-model_v4_0,0.8896708,0.77319586
AF-Q16877-F1-model_v4_0,0.89661235,0.91818184
AF-Q9HCU4-F8-model_v4_0,0.8869082,0.62068963
AF-Q13336-F1-model_v4_0,0.8946582,0.88372093
AF-Q9P1Y5-F1-model_v4_0,0.8961971,0.91818184
AF-O43930-F1-model_v4_0,0.86232215,0.31578952
AF-Q96G61-F1-model_v4_0,0.6817913,0.075630255
AF-Q7RTR0-F1-model_v4_0,0.8780818,0.40298507
AF-Q9HA72-F1-model_v4_0,0.8975132,0.9611651
AF-Q8N357-F1-model_v4_0,0.88840306,0.62068963
AF-Q96SL4-F1-model_v4_0,0.0039777295,0.027272727
AF-Q96HH9-F1-model_v4_0,0.8902536,0.77319586
AF-P50151-F1-model_v4_0,0.83231145,0.31578952
AF-O43310-F1-model_v4_0,0.5076254,0.075630255
AF-Q14296-F1-model_v4_0,0.8858214,0.5
AF-P21359-F3-model_v4_0,0.8534751,0.31578952
AF-Q13303-F1-model_v4_0,0.87386686,0.40298507
AF-Q9H2R5-F1-model_v4_0,0.0484295,0.05882353
AF-O43927-F1-model_v4_0,0.89670545,0.91818184
AF-Q92619-F1-model_v4_0,0.83939576,0.31578952
AF-O60284-F1-model_v4_0,0.89983034,0.9611651
AF-O95299-F1-model_v4_0,0.560491,0.075630255
AF-Q9H867-F1-model_v4_0,0.00095273496,0.027272727
AF-Q9NR48-F2-model_v4_0,0.87919474,0.40298507
AF-Q92626-F1-model_v4_0,0.89651734,0.91818184
AF-O00232-F1-model_v4_0,0.8600283,0.31578952
AF-Q8IWY8-F1-model_v4_0,0.8922316,0.77319586
AF-Q8NDV2-F1-model_v4_0,0.0008893264,0.027272727
AF-Q96L94-F1-model_v4_0,0.3924944,0.075630255
AF-Q14520-F1-model_v4_0,0.89408845,0.88372093
AF-Q8TBZ8-F1-model_v4_0,0.89815384,0.9611651
AF-Q92918-F1-model_v4_0,0.2394822,0.075630255
AF-Q6ZW49-F1-model_v4_0,0.0036894458,0.027272727
AF-Q5VVH2-F1-model_v4_0,0.4594168,0.075630255
AF-P35325-F1-model_v4_0,0.8874117,0.62068963
AF-Q9BYR4-F1-model_v4_0,0.87390625,0.40298507
AF-Q9NRZ5-F1-model_v4_0,0.89172107,0.77319586
AF-Q86WI1-F6-model_v4_0,0.89794177,0.9611651
AF-P04053-F1-model_v4_0,0.82101214,0.31578952
AF-P12314-F1-model_v4_0,0.8997141,0.9611651
AF-Q9P0W0-F1-model_v4_0,0.8982745,0.9611651
AF-Q6ZS17-F1-model_v4_0,0.9002594,0.9611651
AF-Q6ZRI0-F7-model_v4_0,0.8957546,0.88372093
AF-Q8NBI6-F1-model_v4_0,0.89505583,0.88372093
AF-Q13485-F1-model_v4_0,0.86061996,0.31578952
AF-Q96B97-F1-model_v4_0,0.89203584,0.77319586
AF-Q7Z3H4-F1-model_v4_0,0.80681187,0.31578952
AF-P50281-F1-model_v4_0,0.8980039,0.9611651
AF-P11279-F1-model_v4_0,0.89832985,0.9611651
AF-O43765-F1-model_v4_0,0.88912743,0.77319586
AF-Q99501-F1-model_v4_0,0.85101795,0.31578952
AF-Q08AF3-F1-model_v4_0,0.8844909,0.5
AF-A1L020-F1-model_v4_0,0.014216137,0.035714287
AF-Q96PC3-F1-model_v4_0,0.00043468995,0.0
AF-Q8IY31-F1-model_v4_0,0.8999402,0.9611651
AF-Q96PD2-F1-model_v4_0,0.8976909,0.9611651
AF-P43268-F1-model_v4_0,0.0012368289,0.027272727
AF-Q53QV2-F1-model_v4_0,0.9004398,0.9611651
AF-Q8WZ42-F118-model_v4_0,0.89147013,0.77319586
AF-Q96RW7-F21-model_v4_0,0.89828473,0.9611651
AF-O75629-F1-model_v4_0,0.8948915,0.88372093
AF-Q9NRC6-F13-model_v4_0,0.89454937,0.88372093
AF-Q8NHA4-F1-model_v4_0,0.8328565,0.31578952
AF-P86479-F1-model_v4_0,0.8338679,0.31578952
AF-Q9Y693-F1-model_v4_0,0.8939892,0.88372093
AF-B2RBV5-F1-model_v4_0,0.015245084,0.035714287
AF-Q3SY52-F1-model_v4_0,0.8974411,0.9611651
AF-Q8WZ42-F166-model_v4_0,0.8910096,0.77319586
AF-P01350-F1-model_v4_0,0.85022265,0.31578952
AF-Q9H501-F1-model_v4_0,0.89573896,0.88372093
AF-O95864-F1-model_v4_0,0.8969976,0.9611651
AF-Q9Y312-F1-model_v4_0,0.7739928,0.23882788
AF-Q86WZ6-F1-model_v4_0,0.8951238,0.88372093
AF-Q9HBI1-F1-model_v4_0,0.7248583,0.075630255
AF-P49023-F1-model_v4_0,0.89746827,0.9611651
AF-Q8WZ42-F155-model_v4_0,0.8942684,0.88372093
AF-Q9UPN3-F18-model_v4_0,0.8975206,0.9611651
AF-Q969H9-F1-model_v4_0,0.0007464692,0.027272727
AF-Q9BXF3-F1-model_v4_0,0.89657027,0.91818184
AF-Q5VST9-F3-model_v4_0,0.8975794,0.9611651
AF-Q4G1C9-F1-model_v4_0,0.8940878,0.88372093
AF-Q9UI08-F1-model_v4_0,0.8867953,0.62068963
AF-Q9H819-F1-model_v4_0,0.8927679,0.86538464
AF-P83916-F1-model_v4_0,0.0018672263,0.027272727
AF-Q5HYW3-F1-model_v4_0,0.8943644,0.88372093
AF-Q9BZ68-F1-model_v4_0,0.00046530887,0.0
AF-Q5VVQ6-F1-model_v4_0,0.0025392985,0.027272727
AF-Q96C57-F1-model_v4_0,0.89518505,0.88372093
AF-Q8TEJ3-F1-model_v4_0,0.80436486,0.31578952
AF-Q99698-F7-model_v4_0,0.8848149,0.5
AF-Q8N4P3-F1-model_v4_0,0.0004904498,0.0
AF-Q9UJM8-F1-model_v4_0,0.0033077253,0.027272727
AF-Q9Y5E9-F1-model_v4_0,0.89857304,0.9611651
AF-Q05215-F1-model_v4_0,0.884462,0.5
AF-Q8IVF4-F11-model_v4_0,0.07583926,0.075630255
AF-P49638-F1-model_v4_0,0.89119434,0.77319586
AF-Q8IVF4-F14-model_v4_0,0.8929422,0.86538464
AF-Q8WXH0-F15-model_v4_0,0.8926172,0.86538464
AF-Q9GZN6-F1-model_v4_0,0.89511216,0.88372093
AF-Q7Z6Z7-F2-model_v4_0,0.890281,0.77319586
AF-Q8WTR8-F1-model_v4_0,0.8963417,0.91818184
AF-Q9NTU4-F1-model_v4_0,0.88093716,0.40298507
AF-Q5JWF8-F1-model_v4_0,0.10251349,0.075630255
AF-Q9UDX3-F1-model_v4_0,0.8757736,0.40298507
AF-P30954-F1-model_v4_0,0.8567945,0.31578952
AF-Q86UD1-F1-model_v4_0,0.89966,0.9611651
AF-Q9Y581-F1-model_v4_0,0.7225871,0.075630255
AF-Q9NS56-F1-model_v4_0,0.84674835,0.31578952
AF-O60503-F1-model_v4_0,0.8997805,0.9611651
AF-Q9NPR2-F1-model_v4_0,0.8945707,0.88372093
AF-Q8NGT0-F1-model_v4_0,0.8609631,0.31578952
AF-Q495M9-F1-model_v4_0,0.8926911,0.86538464
AF-Q5VY43-F1-model_v4_0,0.8982366,0.9611651
AF-Q7Z5P9-F1-model_v4_0,0.8968931,0.9611651
AF-Q9ULD5-F1-model_v4_0,0.89728856,0.9611651
AF-P43166-F1-model_v4_0,0.004591945,0.030129787
AF-Q7Z6Z7-F3-model_v4_0,0.8955516,0.88372093
AF-O95222-F1-model_v4_0,0.88802177,0.62068963
AF-Q05481-F1-model_v4_0,0.8980604,0.9611651
AF-O75419-F1-model_v4_0,0.033037078,0.05882353
AF-Q8NF67-F1-model_v4_0,0.89593357,0.91818184
AF-Q9BRA0-F1-model_v4_0,0.90137124,0.9611651
AF-Q8WWW0-F1-model_v4_0,0.5653779,0.075630255
AF-Q6ZT62-F1-model_v4_0,0.010325697,0.035714287
AF-Q9Y2D9-F1-model_v4_0,0.8462192,0.31578952
AF-X6R8D5-F1-model_v4_0,0.04002616,0.05882353
AF-Q9UPN3-F27-model_v4_0,0.89458513,0.88372093
AF-Q6ZSU1-F1-model_v4_0,0.0021121064,0.027272727
AF-Q9NQ89-F1-model_v4_0,0.8727801,0.40298507
AF-Q9Y3C1-F1-model_v4_0,0.88350195,0.44992778
AF-Q8N628-F1-model_v4_0,0.8394412,0.31578952
AF-Q03001-F9-model_v4_0,0.8914842,0.77319586
AF-P81277-F1-model_v4_0,0.89971364,0.9611651
AF-O60673-F1-model_v4_0,0.8971767,0.9611651
AF-Q5JUK9-F1-model_v4_0,0.8978137,0.9611651
AF-Q684P5-F1-model_v4_0,0.16845696,0.075630255
AF-Q99715-F8-model_v4_0,0.8969715,0.9611651
AF-Q68DQ2-F3-model_v4_0,0.8858852,0.5
AF-Q96JH7-F1-model_v4_0,0.836542,0.31578952
AF-Q9H808-F1-model_v4_0,0.89272153,0.86538464
AF-P14679-F1-model_v4_0,0.89013886,0.77319586
AF-Q6VY07-F1-model_v4_0,0.5690996,0.075630255
AF-Q7Z429-F1-model_v4_0,0.8942486,0.88372093
AF-O15273-F1-model_v4_0,0.896459,0.91818184
AF-O95522-F1-model_v4_0,0.88867146,0.62068963
AF-Q6V0I7-F2-model_v4_0,0.89884746,0.9611651
AF-Q6ZS86-F1-model_v4_0,0.88555086,0.5
AF-Q08828-F1-model_v4_0,0.89915323,0.9611651
AF-A6NL26-F1-model_v4_0,0.8159932,0.31578952
AF-Q86Z20-F1-model_v4_0,0.8957695,0.88372093
AF-Q6ZNR0-F1-model_v4_0,0.89666617,0.91818184
AF-Q9UHJ6-F1-model_v4_0,0.88493603,0.5
AF-P01036-F1-model_v4_0,0.55690175,0.075630255
AF-P08575-F1-model_v4_0,0.8957668,0.88372093
AF-P00450-F1-model_v4_0,0.8967678,0.91818184
AF-P42858-F8-model_v4_0,0.8895138,0.77319586
AF-P98088-F15-model_v4_0,0.89743876,0.9611651
AF-Q9Y5W7-F1-model_v4_0,0.88856,0.62068963
AF-P98164-F8-model_v4_0,0.8958065,0.88372093
AF-A0A0G2JMP0-F1-model_v4_0,0.8629826,0.33333334
AF-Q5U5Z8-F1-model_v4_0,0.09827885,0.075630255
AF-Q8IY84-F1-model_v4_0,0.0016640987,0.027272727
AF-P78329-F1-model_v4_0,0.8041941,0.31578952
AF-Q9NZN9-F1-model_v4_0,0.8473157,0.31578952
AF-Q9BV68-F1-model_v4_0,0.0025839515,0.027272727
AF-P39880-F1-model_v4_0,0.8943793,0.88372093
AF-Q9BZZ5-F1-model_v4_0,0.84482825,0.31578952
AF-Q96DT5-F8-model_v4_0,0.039858166,0.05882353
AF-O60930-F1-model_v4_0,0.8908094,0.77319586
AF-Q96NN9-F1-model_v4_0,0.86517036,0.39450532
AF-Q9H845-F1-model_v4_0,0.89256626,0.86538464
AF-Q8IW36-F1-model_v4_0,0.89589787,0.91818184
AF-Q5W0A0-F1-model_v4_0,0.89833874,0.9611651
AF-Q9ULJ3-F1-model_v4_0,0.8980134,0.9611651
AF-Q5JS54-F1-model_v4_0,0.0007772942,0.027272727
AF-Q9Y5H1-F1-model_v4_0,0.8985251,0.9611651
AF-Q92743-F1-model_v4_0,0.8952123,0.88372093
AF-Q9Y6R7-F17-model_v4_0,0.8982788,0.9611651
AF-Q6ZMW2-F1-model_v4_0,0.8976754,0.9611651
AF-Q8NHC5-F1-model_v4_0,0.8799482,0.40298507
AF-Q9NXE4-F1-model_v4_0,0.8925005,0.86538464
AF-A0A1B0GUA6-F1-model_v4_0,0.9007079,0.9611651
AF-Q2VWA4-F1-model_v4_0,0.8869847,0.62068963
AF-Q7Z408-F5-model_v4_0,0.8987647,0.9611651
AF-A0A126GWB0-F1-model_v4_0,0.8413045,0.31578952
AF-Q16762-F1-model_v4_0,0.0029892342,0.027272727
AF-Q08830-F1-model_v4_0,0.8966006,0.91818184
AF-P59540-F1-model_v4_0,0.8509446,0.31578952
AF-Q5VV67-F1-model_v4_0,0.8385963,0.31578952
AF-Q8IVL1-F1-model_v4_0,0.7494865,0.075630255
